test_image,train_image,thumb_transform,full_transform,full_rms_best,full_rms_identity,test_w,test_h,train_w,train_h,same_dims,test_ar,train_ar,cluster,n_test_boxes,n_twin_boxes,same_ar_1pct,tp_agnostic,tp_aware,identical_label_set,oracle_best_f1_aware,oracle_best_transform,f1_aware_at_full_tf,published_transform,published_train_image,published_tf_same,published_train_same,pub_tp_agnostic,pub_tp_aware,pub_n_twin_boxes,pub_identical_label_set,i_predD_vs_predTwin__tp,i_predD_vs_predTwin__np,i_predD_vs_predTwin__nt,ii_labelD_vs_labelTwin__tp,ii_labelD_vs_labelTwin__np,ii_labelD_vs_labelTwin__nt,iii_predD_vs_labelD__tp,iii_predD_vs_labelD__np,iii_predD_vs_labelD__nt,iv_predD_vs_labelTwin__tp,iv_predD_vs_labelTwin__np,iv_predD_vs_labelTwin__nt,v_predTwin_vs_labelTwin__tp,v_predTwin_vs_labelTwin__np,v_predTwin_vs_labelTwin__nt
calculus-101-_jpg.rf.feb0ba2b80bef770be404833be6bce83.jpg,calculus-821-_jpg.rf.94c303faa41fda99e5266dada489e8ed.jpg,vflip,vflip,1.06096223737729,47.62101604789207,612,409,612,409,1,1.4963325183374083,1.4963325183374083,4,10,7,1,3,2,0,0.23529411764705882,identity,0.23529411764705882,identity,calculus-1291-_jpg.rf.f37e3b149b6266e62bae751726edc5f6.jpg,0,0,10,10,12,0,7,13,9,2,10,7,10,13,10,4,13,7,4,9,7
calculus-103-_jpg.rf.1873a4bad0ff15290337af9651cd8cac.jpg,calculus-823-_jpg.rf.3e900fda86c26959fd5f48446466116c.jpg,vflip,vflip,1.2126374156989899,69.08054990725162,612,204,612,204,1,3.0,3.0,89,9,4,1,2,2,0,0.30769230769230765,vflip,0.30769230769230765,vflip,calculus-823-_jpg.rf.3e900fda86c26959fd5f48446466116c.jpg,1,1,2,2,4,0,3,9,4,2,9,4,6,9,9,3,9,4,3,4,4
calculus-106-_jpg.rf.642e519b7e7aff2de02f2ae9b6c9a165.jpg,calculus-1214-_jpg.rf.0f86e03c59cf892792815ab573dfd845.jpg,identity,identity,2.993571705775091,2.993571705775091,612,405,612,405,1,1.511111111111111,1.511111111111111,5,11,8,1,8,7,0,0.7368421052631579,identity,0.7368421052631579,identity,calculus-1214-_jpg.rf.0f86e03c59cf892792815ab573dfd845.jpg,1,1,8,7,8,0,9,10,10,7,11,8,6,10,11,8,10,8,7,10,8
calculus-1157-_jpg.rf.167692858040cf7dcac2abc6b8991a71.jpg,gingivitis-1146-_jpg.rf.9f9653c1ba2c8b2e0172fa657d0a0426.jpg,hflip,hflip,7.182739804464089,69.77976775655806,612,192,612,192,1,3.1875,3.1875,6,13,14,1,10,10,0,0.7407407407407408,hflip,0.7407407407407408,hflip,gingivitis-1146-_jpg.rf.9f9653c1ba2c8b2e0172fa657d0a0426.jpg,1,1,10,10,14,0,13,17,13,10,13,14,11,17,13,10,17,14,11,13,14
calculus-1158-_jpg.rf.a7acdbb81b7c7221067ca43af0eacc1c.jpg,calculus-76-_jpg.rf.4714e373dfa58b823587c03a853106d9.jpg,identity,identity,3.085977056708499,3.085977056708499,612,408,612,408,1,1.5,1.5,7,10,10,1,9,9,0,0.9,identity,0.9,identity,calculus-76-_jpg.rf.4714e373dfa58b823587c03a853106d9.jpg,1,1,9,9,10,0,10,10,11,9,10,10,9,10,10,9,10,10,9,11,10
calculus-1160-_jpg.rf.e4bf320a31bb09ba6e1dac644f42ad40.jpg,calculus-584-_jpg.rf.08d5d60cd1e0eed8d706f6b07a86e57c.jpg,hflip,hflip,1.1570085666243737,77.89286871063153,612,459,612,459,1,1.3333333333333333,1.3333333333333333,8,5,3,1,3,0,0,0.0,identity,0.0,identity,calculus-8-_jpg.rf.54d4c5d1105eeead2c34fdd8fb9f4191.jpg,0,0,3,3,4,0,5,5,6,0,5,3,2,5,5,3,5,3,3,6,3
calculus-1177-_jpg.rf.21165275da55e604b595b3133e038842.jpg,calculus-745-_jpg.rf.30e8c8c1016b2837151f639123ec9454.jpg,vflip,vflip,5.043458898527162,125.40573841696907,612,193,612,193,1,3.1709844559585494,3.1709844559585494,102,11,10,1,4,4,0,0.380952380952381,vflip,0.380952380952381,vflip,calculus-745-_jpg.rf.30e8c8c1016b2837151f639123ec9454.jpg,1,1,4,4,10,0,7,10,9,4,11,10,7,10,11,8,10,10,9,9,10
calculus-1178-_jpg.rf.0f826f10eebd123b0406feb78725aad6.jpg,calculus-26-_jpg.rf.aaf881c348f362b2d5a2e7cd7bb8cd44.jpg,identity,identity,1.2651185329224095,1.2651185329224095,612,402,612,402,1,1.5223880597014925,1.5223880597014925,103,5,6,1,5,5,0,0.9090909090909091,identity,0.9090909090909091,identity,calculus-26-_jpg.rf.aaf881c348f362b2d5a2e7cd7bb8cd44.jpg,1,1,5,5,6,0,6,6,6,5,5,6,5,6,5,6,6,6,6,6,6
calculus-1185-_jpg.rf.c4a5cbf162a0f507aa824deec252e448.jpg,calculus-33-_jpg.rf.57424519d5aeedf6db2d5ce8ea9dad26.jpg,identity,identity,2.503065137587876,2.503065137587876,612,297,612,297,1,2.0606060606060606,2.0606060606060606,0,23,12,1,8,8,0,0.4571428571428571,identity,0.4571428571428571,identity,calculus-33-_jpg.rf.57424519d5aeedf6db2d5ce8ea9dad26.jpg,1,1,8,8,12,0,15,20,16,8,23,12,16,20,23,11,20,12,12,16,12
calculus-1197-_jpg.rf.312a68cb98de93c99a2bdf921748b9a8.jpg,calculus-765-_jpg.rf.71dc4d07a004c0e6b506a12d17b925dd.jpg,vflip,vflip,3.1418855329480797,50.763566782924286,612,408,612,408,1,1.5,1.5,104,9,5,1,3,3,0,0.42857142857142855,vflip,0.42857142857142855,vflip,calculus-765-_jpg.rf.71dc4d07a004c0e6b506a12d17b925dd.jpg,1,1,3,3,5,0,3,10,5,3,9,5,6,10,9,3,10,5,5,5,5
calculus-1205-_jpg.rf.567a6d72a191557d12b133bd2f9d369a.jpg,calculus-629-_jpg.rf.3d168fa6f411ae49c3372ec6c6df24ad.jpg,hflip,hflip,8.504368276665602,59.06007326983833,612,151,612,151,1,4.052980132450331,4.052980132450331,9,42,38,1,37,37,0,0.925,hflip,0.925,hflip,calculus-629-_jpg.rf.3d168fa6f411ae49c3372ec6c6df24ad.jpg,1,1,37,37,38,0,40,47,40,37,42,38,41,47,42,38,47,38,37,40,38
