filename,source,split,tvnt_true,tvnt_score,mitotic_true,mitotic_pred,nucleol_true,nucleol_pred,hyperchrom_true,hyperchrom_pred
OSCC_400x_236_jpg.rf.145442bc5ce258ac61321ec1fa6807ca.jpg,OSCC_400x_236_jpg,val,1,0.99999976,0,-0.040618,6,6.007753,36,27.883593
OSCC_400x_236_jpg.rf.a6bf636abd524dca31d016ccc7911bee.jpg,OSCC_400x_236_jpg,val,1,0.99285972,0,0.101401,6,2.295166,36,5.556773
OSCC_400x_21_jpg.rf.e699530ff21c14ebeb0b2a462f5d7dd8.jpg,OSCC_400x_21_jpg,val,1,0.97222137,1,0.110041,5,3.010374,1,0.823362
OSCC_400x_412_jpg.rf.cbfb163cfc5f52bb0066d6de540c2968.jpg,OSCC_400x_412_jpg,val,1,0.90611112,0,0.102785,0,0.786820,3,1.713850
OSCC_400x_475_jpg.rf.ace897e2e90b45f450f073adbc8fc205.jpg,OSCC_400x_475_jpg,val,1,0.95684385,0,0.031687,0,1.775589,1,2.542925
OSCC_400x_291_jpg.rf.278b79b467b8c31eced53c1a6d26ef9b.jpg,OSCC_400x_291_jpg,val,0,0.96036494,0,0.086575,0,4.167253,0,0.733023
OSCC_400x_95_jpg.rf.4a3bf3b861ffbea3e8852f1dbfd0063d.jpg,OSCC_400x_95_jpg,val,1,0.99440801,0,0.012275,2,6.087134,1,3.299319
OSCC_400x_68_jpg.rf.9f50dab7d36014bbeb5264839ef2e479.jpg,OSCC_400x_68_jpg,val,1,0.99857569,0,0.005941,10,10.283786,1,0.578017
OSCC_400x_10_jpg.rf.c2e7618c21aa5b9d7e4bae1681e53fd7.jpg,OSCC_400x_10_jpg,val,1,0.99998546,0,0.142686,3,3.148469,18,17.312675
OSCC_400x_16_jpg.rf.bf10e867f27b55a9e8668e9dbf3a7e67.jpg,OSCC_400x_16_jpg,val,1,0.99688244,0,0.098972,8,7.881878,1,-0.124963
OSCC_400x_138_jpg.rf.bfa4bd9102b51ee35c93dfc2095b89d6.jpg,OSCC_400x_138_jpg,val,1,0.99716574,0,0.101174,13,8.611576,0,1.641866
OSCC_400x_455_jpg.rf.dff4499e600b8e291de8fbb2426a3907.jpg,OSCC_400x_455_jpg,val,1,0.98609239,1,0.096222,3,3.255714,1,2.761371
OSCC_400x_27_jpg.rf.17f99cdf055f7da51e29f75aa1bc61cf.jpg,OSCC_400x_27_jpg,val,1,0.99717486,0,0.172308,9,7.221995,0,-0.158315
OSCC_400x_1_jpg.rf.15aa87e0e9c0c04e9483fdf71fbddb80.jpg,OSCC_400x_1_jpg,val,1,0.99955481,0,0.147894,11,10.814568,0,1.188504
OSCC_400x_324_jpg.rf.afba78a84799bf7017a39faa1ab9150c.jpg,OSCC_400x_324_jpg,val,1,0.99729306,0,0.154149,4,4.007771,8,4.720100
OSCC_400x_71_jpg.rf.b81be53c47260c82d4999757c6d032be.jpg,OSCC_400x_71_jpg,val,1,0.88270992,0,0.030865,1,1.350543,0,0.687289
OSCC_400x_231_jpg.rf.fc1b11cc348b6af012bcef98593df29c.jpg,OSCC_400x_231_jpg,val,1,0.96342587,0,0.017333,2,1.969273,2,2.657720
OSCC_400x_258_jpg.rf.d2d40a7c4536b5d277ddc1861d24cb63.jpg,OSCC_400x_258_jpg,val,1,0.99890697,0,-0.081741,2,2.771127,11,8.631587
OSCC_400x_444_jpg.rf.67f973dd871a8b4720d07a7d711376a2.jpg,OSCC_400x_444_jpg,val,1,0.95454401,1,-0.020804,2,0.956805,5,3.435833
OSCC_400x_397_jpg.rf.40b3d179a2cbdf2bcec75564e2fb7a3f.jpg,OSCC_400x_397_jpg,val,1,0.92513144,0,0.008287,0,0.636195,4,2.395627
OSCC_400x_232_jpg.rf.44326f6fdd959f10e364400c6d07f2f0.jpg,OSCC_400x_232_jpg,val,1,0.95986933,0,0.090722,0,2.332651,1,1.398501
OSCC_400x_37_jpg.rf.b917ac01aa16d5f927bfccd87a1533b8.jpg,OSCC_400x_37_jpg,val,1,0.99177247,0,0.119819,4,4.556145,2,1.594127
